,,불만족(1+2),,보통(3),,만족(4+5)
구분1,구분2,2018,2019,2018,2019,2018,2019
"성별","남성","4.63","5.21","20.63","21.59","74.74","73.20"
"성별","여성","3.79","3.88","19.22","19.48","76.99","76.65"
"성별","전체","4.15","4.42","19.83","20.33","76.03","75.25"
