,,불만족(1+2),,,,,보통(3),,,,,만족(4+5)
구분1,구분2,2015,2016,2017,2018,2019,2015,2016,2017,2018,2019,2015,2016,2017,2018,2019
"연령","15-20세","0.18","0.10","0.64","0.96","1.12","5.32","4.70","3.88","6.91","5.93","94.02","94.01","93.38","92.13","92.95"
"연령","21-30세","0.73","0.39","0.62","0.75","0.77","5.67","5.04","5.72","8.18","8.21","92.52","92.93","91.65","91.07","91.02"
"연령","31-40세","1.06","0.49","0.50","1.16","0.82","7.75","6.47","6.34","7.74","8.95","87.73","89.06","89.42","91.10","90.24"
"연령","41-50세","1.20","0.26","0.45","1.16","0.60","13.70","9.39","8.98","10.71","11.32","79.16","79.58","82.70","88.14","88.08"
"연령","51-60세","1.47","0.18","0.42","1.29","1.11","15.73","12.92","11.38","11.34","11.40","73.54","74.69","79.12","87.37","87.49"
"연령","61세이상","0.36","1.01","0.59","1.08","1.23","12.65","13.95","15.29","12.28","10.65","80.19","67.40","72.32","86.65","88.12"
"연령","모름/무응답","1.19","0.00","0.00","0.00","0.00","22.30","15.23","36.85","0.00","0.00","62.82","71.43","63.15","0.00","0.00"
"연령","전체","0.91","0.38","0.54","1.03","0.85","8.66","6.79","7.09","9.17","9.44","87.01","88.21","88.09","89.80","89.71"
