,,불만족(1+2),,보통(3),,만족(4+5)
구분1,구분2,2018,2019,2018,2019,2018,2019
"연령","15-20세","6.83","1.92","14.71","13.97","78.46","84.11"
"연령","21-30세","3.99","4.08","18.50","17.66","77.51","78.26"
"연령","31-40세","3.51","3.98","18.81","19.16","77.68","76.86"
"연령","41-50세","4.22","5.00","23.05","22.93","72.73","72.07"
"연령","51-60세","4.19","5.30","21.08","24.28","74.73","70.42"
"연령","61세이상","5.51","5.82","22.89","27.00","71.61","67.18"
"연령","전체","4.15","4.42","19.83","20.33","76.03","75.25"
