연령,재방문의사,만족도_치안,만족도_출입국절차,만족도_음식,만족도_여행경비,만족도_언어소통,만족도_숙박,만족도_쇼핑,만족도_대중교통,만족도_관광지매력도,만족도_관광안내서비스
15-20세,93.235,94.9,94.9,93.155,89.985,84.28,94.06,95.915,94.405,94.09,91.765
21-30세,91.315,95.21,93.31,92.555,88.81,80.68,93.415,95.125,93.95,92.825,90.415
31-40세,91.06,96.61,94.71,92.085,88.335,77.555,94.745,94.715,94.32,93.08,90.465
41-50세,90.085,95.065,93.385,90.475,86.645,74.595,93.005,93.74,93.985,93.175,87.975
51-60세,90.285,95.28,92.805,90.315,85.99,74.085,93.18,93.19,93.1,91.68,87.665
61세이상,87.14,96.32,95.145,87.3,84.835,73.595,94.74,93.445,94.185,92.355,86.665
모름/무응답,0,0,0,0,0,0,0,0,0,0,0
전체,90.73,95.58,93.725,91.465,87.7,77.56,93.725,94.43,93.925,92.77,89.52
