연령,재방문의사,만족도_치안,만족도_출입국절차,만족도_음식,만족도_여행경비,만족도_언어소통,만족도_숙박,만족도_쇼핑,만족도_대중교통,만족도_관광지매력도,만족도_관광안내서비스
15-20세,92.135,92.565,93.91,94.005,86.755,80.75,92.185,95.585,93.885,94.865,90.56
21-30세,89.635,95.31,93.145,91.67,86.485,77.82,92.85,95.16,93.125,92.54,90.32
31-40세,91.22,96.085,93.835,91.765,86.3,76.4,93.135,94.97,92.685,92.735,90.68
41-50세,90.425,94.99,92.17,90.78,84.22,73.5,92.315,93.495,92.385,91.54,88.41
51-60세,90.48,95.455,92.525,91.31,83.66,73.35,92.115,93.04,92.255,92.245,89.17
61세이상,90.93,94.265,91.81,88.9,86.155,70.025,91.835,92.79,90.775,91.45,90.635
모름/무응답,0,0,0,0,0,0,0,0,0,0,0
전체,90.455,95.295,93,91.455,85.565,75.725,92.62,94.385,92.67,92.425,89.92
