연령,재방문의사,만족도_치안,만족도_출입국절차,만족도_음식,만족도_여행경비,만족도_언어소통,만족도_숙박,만족도_쇼핑,만족도_대중교통,만족도_관광지매력도,만족도_관광안내서비스
15-20세,89.765,97.03,95.38,93.855,88.8,85.925,94.3,96.36,95.635,94.705,91.65
21-30세,90.3,97.17,93.97,92.18,88.64,82.985,94.21,95.45,93.66,92.995,91.325
31-40세,91.02,96.8,93.18,92.33,88.44,81.465,94.845,92.295,93.42,92.385,88.295
41-50세,91.455,94.18,88.72,92.96,84.895,75.61,91.985,84.275,90.89,84.805,76.47
51-60세,90.545,91.38,87.825,93.95,83.785,78.13,94.38,81.15,90.105,84.64,75.135
61세이상,84.17,92.43,86.315,92.755,82.69,77.735,90.69,74.375,89.21,84.86,77.94
모름/무응답,91.11,89.24,91.56,93.98,90.69,79.23,91.315,79.045,90.045,75.595,74.275
전체,90.49,96.115,92.52,92.57,87.62,81.29,94.015,91.605,92.98,91.015,87.04
