연령,재방문의사,만족도_치안,만족도_출입국절차,만족도_음식,만족도_여행경비,만족도_언어소통,만족도_숙박,만족도_쇼핑,만족도_대중교통,만족도_관광지매력도,만족도_관광안내서비스
15-20세,90.205,95.745,93.11,91.735,85.855,80.485,93.795,96.68,93.945,94.715,92.545
21-30세,91.745,96.87,94.67,91.415,86.88,82.885,95.175,95.355,94.485,93.45,91.615
31-40세,92.2,96.005,94.1,91.74,84.505,79.225,95.15,91.605,93.065,91.12,88.035
41-50세,90.15,92.445,89.625,92.16,78.66,74.38,93.74,86.01,90.145,84.445,78.845
51-60세,90.245,90.475,89.005,91.525,76.24,75.72,92.73,81.405,88.375,82.81,74.405
61세이상,90.32,93.87,90.65,93.375,79.365,75.025,93.965,86.515,91.555,87.325,77.965
모름/무응답,92.01,86.8,90.14,83.045,72.89,75.71,91.685,73.97,86.495,84.525,74.6
전체,91.355,95.185,92.985,91.695,83.645,79.505,94.6,91.34,92.725,90.3,86.625
