국가,재방문의사,만족도_치안,만족도_출입국절차,만족도_음식,만족도_여행경비,만족도_언어소통,만족도_숙박,만족도_쇼핑,만족도_대중교통,만족도_관광지매력도,만족도_관광안내서비스
일본,84.365,87.485,82.57,92.965,84.505,74.185,85.805,90.655,85.805,87.13,82.09
중국,92.355,98.35,96.885,90.005,89.145,80.915,94.26,96.64,94.26,93.675,94.375
홍콩,91.705,95.82,93.87,92.44,83.945,70.355,91.49,93.96,91.49,89.885,87.785
싱가포르,92.83,94.555,93.865,96.04,77.76,65.505,92.61,95.79,92.61,92.985,88.43
대만,91.165,96.75,95.54,92.025,86.75,82.06,94.42,96.18,94.42,94.245,93.12
태국,91.15,94.71,90.135,88.62,82.165,69.655,93.225,94.845,93.225,90.265,88.025
말레이시아,93.58,95.435,93.455,88.22,77.54,65.75,93.44,93.3,93.44,95.57,89.97
호주,91.595,96.64,95.28,95.72,87.115,77.005,95,93.17,95,94.425,87.225
미국,91.26,98.04,96.13,96.455,87.41,81.795,96.075,93.915,96.075,96.08,89.245
캐나다,89.565,98.605,95.495,94.86,86.935,78.775,94.16,93.57,94.16,95.105,90.22
영국,92.565,97.4,97.385,94.875,84.845,79.17,95.705,92.71,95.705,92.715,86.52
독일,89.565,92.89,95.045,91.8,79.37,59.28,95.11,88.165,95.11,90.02,81.685
프랑스,85.77,98.375,97,92.52,87.31,71.355,96.21,93.64,96.21,93.15,88.255
러시아,91.41,98.345,96.705,92.975,82.615,71.895,95.945,97.325,95.945,95.66,91.19
중동,90.61,97.25,93.05,82.105,80.325,68.005,95.85,93.635,95.85,94.455,89.54
인도,96.28,97.74,97.085,80.4,77.65,56.575,96.55,91.665,96.55,93.405,87.395
전체,90.455,95.295,93,91.455,85.565,75.725,92.67,94.385,92.67,92.425,89.92
기타,88.73,95.86,95.32,90.005,81.455,62.315,93.82,91.365,93.82,92.52,86.57
필리핀,97.14,97.93,97.31,95.24,83.855,69.855,97.43,95.545,97.43,97.32,93.27
인도네시아,94.56,96.425,92.63,89.35,78.295,65.36,94.63,95,94.63,93.685,89.115
베트남,94.92,96.275,95.325,88.83,80.78,70.025,95.56,93.915,95.56,92.815,91.435
몽골,94.145,95.67,93.425,94.55,82.58,75.82,98.345,96.715,98.345,96.13,89.99
