국가,재방문의사,만족도_치안,만족도_출입국절차,만족도_음식,만족도_여행경비,만족도_언어소통,만족도_숙박,만족도_쇼핑,만족도_대중교통,만족도_관광지매력도,만족도_관광안내서비스
일본,90.935,78.945,80.535,93.61,66.505,73.61,78.705,79.67,78.705,76.315,67.935
중국,91.065,98.715,95.935,90.45,88.75,84.915,95.225,96.865,95.225,93.7,93.54
홍콩,91.73,96.3,88.665,92.585,85.19,72.82,90.965,94.225,90.965,90.365,86.715
싱가포르,96.28,97.055,91.235,94.575,82.25,72.15,95.43,89.44,95.43,90.33,84.56
대만,90.435,95.56,95.02,93.735,84.33,81.895,94.3,96.61,94.3,95.17,93.48
태국,90.51,96.465,94.875,90.275,86.85,77.515,96.175,95.61,96.175,95.155,90.31
말레이시아,94.16,97.79,94.9,88,76.895,64.24,95.4,93.33,95.4,96.375,90.245
호주,92.21,99.085,93.935,95.53,88.33,81.825,96.915,79.61,96.915,88.115,76.195
미국,90.435,98.455,95.285,96.18,90.195,85.44,96.505,85.62,96.505,92.34,85.04
캐나다,87.7,98.165,95.555,95.685,89.115,80.675,95.42,85.82,95.42,89.475,80.045
영국,91.835,98.67,94.305,95.46,90.11,84.465,95.425,81.79,95.425,87.75,75.44
독일,90.99,97.73,94.745,94.225,78.685,64.24,95.73,69.255,95.73,77.895,69.3
프랑스,89.825,98.895,93.865,91.815,81.895,64.91,95.895,80.29,95.895,84.98,72.92
러시아,89.515,98.76,98.16,92.495,81.97,80.42,97.16,93.47,97.16,97.33,91.115
중동,95.55,98.165,97.375,89.11,85.275,75.92,96.835,90.53,96.835,94.245,87.585
인도,95.035,98.49,97.24,75.67,72.97,53.145,96.85,84.785,96.85,87.735,81.975
전체,91.355,95.185,92.985,91.695,83.645,79.505,92.725,91.34,92.725,90.3,86.625
기타,93.515,97.84,95.65,90.83,80.52,66.89,96.58,86.775,96.58,90.82,83.93
