성별,재방문의사,만족도_치안,만족도_출입국절차,만족도_음식,만족도_여행경비,만족도_언어소통,만족도_숙박,만족도_쇼핑,만족도_대중교통,만족도_관광지매력도,만족도_관광안내서비스
남성,90.085,95.95,92.12,92.54,86.905,78.62,93.55,86.325,92.96,88.905,83.2
여성,90.775,96.245,92.805,92.595,88.12,83.175,94.345,95.325,93,92.51,89.75
전체,90.49,96.115,92.52,92.57,87.62,81.29,94.015,91.605,92.98,91.015,87.04
