성별,재방문의사,만족도_치안,만족도_출입국절차,만족도_음식,만족도_여행경비,만족도_언어소통,만족도_숙박,만족도_쇼핑,만족도_대중교통,만족도_관광지매력도,만족도_관광안내서비스
남성,89.705,95.525,92.55,90.635,84.59,72.06,91.6,93.52,92.77,91.68,88.975
여성,91.025,95.125,93.345,92.065,86.29,78.515,93.395,94.995,92.59,92.965,90.605
전체,90.455,95.295,93,91.455,85.565,75.725,92.62,94.385,92.67,92.425,89.92
