성별,재방문의사,만족도_치안,만족도_출입국절차,만족도_음식,만족도_여행경비,만족도_언어소통,만족도_숙박,만족도_쇼핑,만족도_대중교통,만족도_관광지매력도,만족도_관광안내서비스
남성,90.585,96.55,93.09,91.6,86.145,76.765,94.17,87.32,93.845,92.05,90.02
여성,92.08,96.42,93.495,93.595,88.74,82.11,94.55,95.155,93.81,94.13,92.015
전체,91.405,96.485,93.315,92.705,87.58,79.71,94.375,91.635,93.83,93.195,91.12
