성별,재방문의사,만족도_치안,만족도_출입국절차,만족도_음식,만족도_여행경비,만족도_언어소통,만족도_숙박,만족도_쇼핑,만족도_대중교통,만족도_관광지매력도,만족도_관광안내서비스
남성,90.175,95.91,93.335,90.375,86.515,73.615,93.14,93.645,94.285,92.075,88.61
여성,91.115,95.34,93.995,92.225,88.505,80.32,94.12,94.935,93.67,93.215,90.11
전체,90.73,95.58,93.725,91.465,87.7,77.56,93.725,94.43,93.925,92.77,89.52
