한국방문 주요활동,2019
"K-POP/한류스타관련공연장및드라마/영화촬영지방문","15.06"
"고궁/역사유적지방문","69.77"
"기타","0.44"
"박물관,전시관방문","40.84"
"뷰티/의료관광","8.46"
"쇼핑","94.27"
"스포츠/레저관람및참가","4.26"
"시찰(산업시설등)","1.99"
"식도락관광","93.43"
"업무수행(회의,학술대회,박람회등참여)","10.91"
"연수,교육,연구","2.78"
"유흥/오락","33.88"
"자연경관감상","80.62"
"전통문화체험(한복체험,태권도,한국음식만들기등)","47.54"
